speaker,line_count,word_count,episode_count,season_count
Female Staff Member,2,12,1,1
Student3,2,12,1,1
Cowboy,2,11,1,1
Mp,2,11,1,1
Nikki,2,11,1,1
Ray,2,11,1,1
Urologist,2,11,1,1
Avery,2,10,1,1
Eileen,2,10,1,1
Female Donor,2,10,1,1
Jeremy's Dad,2,10,1,1
Kaitlin,2,10,1,1
Marta,2,10,1,1
Stomach Lady,2,10,1,1
Emo Guy,2,9,1,1
Neuro 1,2,9,1,1
Red Headed Boy,2,9,1,1
Saul,2,9,1,1
Szabo,2,9,1,1
Villager,2,9,1,1
Bass,2,8,1,1
Boy,2,8,2,2
Chanting Crowd,2,8,1,1
Diana,2,8,1,1
House & Foreman Together,2,8,2,2
Nicky,2,8,1,1
Policeman 1,2,8,1,1
Tongue Guy,2,8,1,1
Chuck,2,7,1,1
Clueless Wife,2,7,1,1
Male Dr On Mini Tv,2,7,1,1
Mrs Zebalusky,2,7,1,1
Operator,2,7,1,1
Quarterback,2,7,1,1
Bashful Old Lady,2,6,1,1
Fawn,2,6,1,1
Jonathan,2,6,1,1
Audience,2,5,1,1
Dr Frasier,2,5,1,1
Ear Guy,2,5,1,1
General,2,5,1,1
House & Amber,2,5,1,1
Mrs Weston,2,5,1,1
Person,2,5,2,2
Pulse Dude,2,5,1,1
Chase & Adams,2,4,2,1
Chase & Foreman,2,4,2,1
Computerized Car Voice,2,4,1,1
Man In Stall,2,4,1,1
Toros Fan,2,4,1,1
Mopping Guy,2,3,1,1
Dr Pinto,2,2,1,1
Sitcom Studio Audience,2,2,1,1
Collins,1,118,1,1
Note 2,1,71,1,1
Note 1,1,65,1,1
Male Announcer,1,63,1,1
Magician Boy On Stage,1,59,1,1
Message,1,59,1,1
Overhead Speaker Voice,1,42,1,1
Tammy,1,41,1,1
Patient 1,1,39,1,1
Student,1,38,1,1
Drnolan,1,37,1,1
Chorus,1,35,1,1
Aisnley,1,33,1,1
House's Answering Machine,1,31,1,1
Dr Turner,1,29,1,1
Patient 2,1,29,1,1
Staffer,1,29,1,1
Cheerleader On The Video,1,28,1,1
Ensemble,1,27,1,1
Announcement,1,26,1,1
Hose,1,26,1,1
Process Server,1,25,1,1
Rachelle,1,24,1,1
Angela,1,23,1,1
Danielle Staub,1,23,1,1
Middle Aged Man,1,23,1,1
New Jersey,1,23,1,1
Tyson Ritter,1,23,1,1
Woman On Tv,1,23,1,1
Sandra's Husband,1,22,1,1
Betty,1,21,1,1
Formean,1,20,1,1
House To Chase,1,20,1,1
Workman,1,20,1,1
Wilson's Voice,1,19,1,1
Kunter,1,18,1,1
Nurse Hoffner,1,18,1,1
College Kid,1,17,1,1
Elderly Woman,1,17,1,1
Foremman,1,17,1,1
Guy In The Clinic,1,17,1,1
Singing,1,17,1,1
Thirteen Enters,1,17,1,1
Chaes,1,16,1,1
Cooking Teacher,1,16,1,1
Er Voice-over,1,16,1,1
Forbes,1,16,1,1
Camreon,1,15,1,1
Rescue Worker 1,1,15,1,1
Woman's Voice,1,15,1,1
Birthday Girl's Father,1,14,1,1
Birthday Girl's Mother,1,14,1,1
Gabiella,1,14,1,1
Man A,1,14,1,1
Not-wilson,1,14,1,1
Ortho Doc,1,14,1,1
Vagrant,1,14,1,1
Dionne,1,13,1,1
Dr Felker,1,13,1,1
Fireman3,1,13,1,1
Radio Answer,1,13,1,1
Trio,1,13,1,1
Yvette,1,13,1,1
Ann,1,12,1,1
Band Member,1,12,1,1
Business Man,1,12,1,1
Leeanne,1,12,1,1
Noisy Girl,1,12,1,1
Random Firefighter,1,12,1,1
A Coach,1,11,1,1
Announcer In The Airport,1,11,1,1
Boby,1,11,1,1
Girl 2,1,11,1,1
Mom's Voice,1,11,1,1
Phillip,1,11,1,1
Wilson & Some Guy,1,11,1,1
Dina Manzo,1,10,1,1
Guy 2 Tony,1,10,1,1
Prosecution,1,10,1,1
Richard Kutner,1,10,1,1
Clinic Nurse,1,9,1,1
Frankel,1,9,1,1
Heard Over The Intercom,1,9,1,1
Hurse,1,9,1,1
Man On Phone,1,9,1,1
Matt's Hallucination Of His Teacher,1,9,1,1
Minister & Mourners,1,9,1,1
Nurse Helen,1,9,1,1
Pa,1,9,1,1
Pan Am Clerk,1,9,1,1
Blonde,1,8,1,1
Club Owner,1,8,1,1
Cop 2,1,8,1,1
Diagnosis,1,8,1,1
Janet,1,8,1,1
Moon Woman,1,8,1,1
